Job_ID,Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Error_Rate (%)
JOB_2085,2024-01-02 10:44:00,2024-01-02 10:44:00,53.1,3701,713,6.53,460,Enterprise DB,176,545.1,High,Round Robin,Dynamic,0.99
JOB_2086,2024-01-02 10:45:00,2024-01-02 10:45:00,49.83,4679,968,6.89,102,IoT,3656,466.46,High,FCFS,Static,2.85
JOB_2087,2024-01-02 10:46:00,2024-01-02 10:46:00,18.44,4866,911,6.96,529,Social Media,2428,336.99,Medium,Round Robin,Dynamic,3.7
JOB_2088,2024-01-02 10:47:00,2024-01-02 10:47:00,62.54,2791,1922,3.02,422,Cloud,1702,788.15,High,Priority-Based,Static,1.0
JOB_2089,2024-01-02 10:48:00,2024-01-02 10:48:00,75.77,4983,4962,3.64,768,Enterprise DB,57,103.03,High,ASB-Dynamic-CapsNet,Static,2.36
JOB_2090,2024-01-02 10:49:00,2024-01-02 10:49:00,40.43,713,4277,5.71,403,Cloud,4758,975.15,Medium,Round Robin,Static,2.32
JOB_2091,2024-01-02 10:50:00,2024-01-02 10:50:00,72.05,7461,1844,2.4,974,Cloud,1334,125.38,Medium,Round Robin,Dynamic,4.2
JOB_2092,2024-01-02 10:51:00,2024-01-02 10:51:00,87.16,3737,2356,0.69,340,IoT,4743,775.34,Low,Round Robin,Static,3.89
JOB_2093,2024-01-02 10:52:00,2024-01-02 10:52:00,26.3,4362,4142,5.84,717,IoT,4531,374.55,Low,ASB-Dynamic-CapsNet,Static,1.16
JOB_2094,2024-01-02 10:53:00,2024-01-02 10:53:00,51.87,558,3767,4.92,442,Cloud,228,866.61,Medium,ASB-Dynamic-CapsNet,Static,1.16
JOB_2095,2024-01-02 10:54:00,2024-01-02 10:54:00,32.97,6221,621,6.74,963,Cloud,3645,83.43,High,ASB-Dynamic-CapsNet,Static,3.62
JOB_2096,2024-01-02 10:55:00,2024-01-02 10:55:00,73.43,3430,1625,1.89,172,Cloud,4960,380.97,High,Round Robin,Dynamic,3.7
JOB_2097,2024-01-02 10:56:00,2024-01-02 10:56:00,56.21,5438,1569,8.49,955,Cloud,3867,342.09,Medium,Round Robin,Dynamic,0.89
JOB_2098,2024-01-02 10:57:00,2024-01-02 10:57:00,60.77,3471,2775,1.89,49,Social Media,3304,993.23,Medium,Priority-Based,Static,2.06
JOB_2099,2024-01-02 10:58:00,2024-01-02 10:58:00,73.83,2027,1613,8.97,775,Cloud,4503,985.69,Medium,FCFS,Static,4.13
JOB_2100,2024-01-02 10:59:00,2024-01-02 10:59:00,41.68,6325,4976,4.77,917,Enterprise DB,2473,197.91,High,FCFS,Dynamic,0.4
JOB_2101,2024-01-02 11:00:00,2024-01-02 11:00:00,83.21,622,1551,5.72,94,IoT,4847,633.65,Low,ASB-Dynamic-CapsNet,Static,1.87
JOB_2102,2024-01-02 11:01:00,2024-01-02 11:01:00,52.64,4219,4754,9.02,793,Enterprise DB,1800,540.16,Low,FCFS,Static,3.22
JOB_2103,2024-01-02 11:02:00,2024-01-02 11:02:00,22.64,1936,3530,3.35,599,IoT,4927,162.83,High,ASB-Dynamic-CapsNet,Dynamic,3.86
JOB_2104,2024-01-02 11:03:00,2024-01-02 11:03:00,65.67,1662,3107,2.23,734,IoT,4227,176.1,Low,ASB-Dynamic-CapsNet,Dynamic,3.26
JOB_2105,2024-01-02 11:04:00,2024-01-02 11:04:00,73.46,3800,3224,4.73,825,IoT,3479,989.36,Medium,Round Robin,Static,1.99
JOB_2106,2024-01-02 11:05:00,2024-01-02 11:05:00,35.34,3845,1853,2.82,776,Enterprise DB,234,458.2,Medium,FCFS,Dynamic,4.96
JOB_2107,2024-01-02 11:06:00,2024-01-02 11:06:00,78.57,2986,1712,5.51,100,IoT,2385,134.54,High,Priority-Based,Dynamic,0.21
JOB_2108,2024-01-02 11:07:00,2024-01-02 11:07:00,82.49,7665,3375,3.11,493,Cloud,3183,222.64,High,ASB-Dynamic-CapsNet,Static,2.47
JOB_2109,2024-01-02 11:08:00,2024-01-02 11:08:00,32.15,1061,655,8.71,394,Cloud,556,275.66,Medium,ASB-Dynamic-CapsNet,Static,2.55
JOB_2110,2024-01-02 11:09:00,2024-01-02 11:09:00,88.68,4481,4351,6.27,202,Social Media,4175,515.81,Medium,Priority-Based,Dynamic,1.2
JOB_2111,2024-01-02 11:10:00,2024-01-02 11:10:00,21.26,6761,2149,0.5,262,Social Media,1982,342.19,High,FCFS,Static,2.79
JOB_2112,2024-01-02 11:11:00,2024-01-02 11:11:00,26.16,2237,924,8.15,799,Social Media,1246,460.46,High,Priority-Based,Static,1.1
JOB_2113,2024-01-02 11:12:00,2024-01-02 11:12:00,24.74,1404,2949,3.64,664,Cloud,3735,174.83,Medium,FCFS,Dynamic,2.22
JOB_2114,2024-01-02 11:13:00,2024-01-02 11:13:00,81.52,4054,3130,3.54,253,Enterprise DB,4231,333.46,Medium,FCFS,Static,2.16
JOB_2115,2024-01-02 11:14:00,2024-01-02 11:14:00,62.34,4990,1181,4.14,733,Social Media,1388,79.61,Low,FCFS,Dynamic,3.87
JOB_2116,2024-01-02 11:15:00,2024-01-02 11:15:00,22.17,2226,3425,6.49,716,Cloud,2670,890.81,Low,FCFS,Dynamic,4.71
JOB_2117,2024-01-02 11:16:00,2024-01-02 11:16:00,45.23,3423,592,4.7,279,IoT,732,206.76,Medium,FCFS,Static,1.01
JOB_2118,2024-01-02 11:17:00,2024-01-02 11:17:00,59.22,4031,4864,6.47,850,Enterprise DB,3564,759.33,High,FCFS,Dynamic,4.96
JOB_2119,2024-01-02 11:18:00,2024-01-02 11:18:00,16.68,4406,174,1.89,28,Enterprise DB,4417,356.06,Low,ASB-Dynamic-CapsNet,Static,4.7
JOB_2120,2024-01-02 11:19:00,2024-01-02 11:19:00,80.59,6312,3091,9.72,49,Cloud,2210,479.65,Low,Round Robin,Static,0.56
JOB_2121,2024-01-02 11:20:00,2024-01-02 11:20:00,74.29,1434,3460,7.43,619,Cloud,1779,298.35,Medium,ASB-Dynamic-CapsNet,Static,4.56
JOB_2122,2024-01-02 11:21:00,2024-01-02 11:21:00,50.42,5697,470,2.88,525,IoT,1467,699.48,High,ASB-Dynamic-CapsNet,Static,2.82
JOB_2123,2024-01-02 11:22:00,2024-01-02 11:22:00,87.37,7595,4782,7.38,42,IoT,4064,846.1,High,Priority-Based,Dynamic,4.39
JOB_2124,2024-01-02 11:23:00,2024-01-02 11:23:00,43.42,6031,428,5.96,820,IoT,68,293.41,Medium,Round Robin,Static,4.73
JOB_2125,2024-01-02 11:24:00,2024-01-02 11:24:00,88.73,574,4785,1.54,686,Enterprise DB,2702,249.8,High,Round Robin,Dynamic,4.29
JOB_2126,2024-01-02 11:25:00,2024-01-02 11:25:00,63.43,794,1890,2.19,459,Enterprise DB,3850,684.63,Medium,Round Robin,Static,2.01
JOB_2127,2024-01-02 11:26:00,2024-01-02 11:26:00,60.77,520,876,0.89,548,Social Media,514,203.2,High,FCFS,Static,3.18
JOB_2128,2024-01-02 11:27:00,2024-01-02 11:27:00,23.28,3742,2122,8.19,694,Social Media,740,643.44,Medium,FCFS,Dynamic,2.32
JOB_2129,2024-01-02 11:28:00,2024-01-02 11:28:00,80.55,1538,4774,5.74,858,Social Media,1060,103.48,High,FCFS,Dynamic,1.83
JOB_2130,2024-01-02 11:29:00,2024-01-02 11:29:00,44.2,5830,4416,3.51,634,Enterprise DB,3111,623.94,Medium,ASB-Dynamic-CapsNet,Static,1.25
JOB_2131,2024-01-02 11:30:00,2024-01-02 11:30:00,22.98,5155,1287,1.7,955,IoT,4070,518.27,Medium,Round Robin,Dynamic,2.21
JOB_2132,2024-01-02 11:31:00,2024-01-02 11:31:00,11.01,1609,1603,5.1,894,Social Media,212,122.77,High,Round Robin,Dynamic,4.03
JOB_2133,2024-01-02 11:32:00,2024-01-02 11:32:00,54.78,5768,3391,5.49,901,IoT,1685,652.61,Medium,ASB-Dynamic-CapsNet,Dynamic,4.22
JOB_2134,2024-01-02 11:33:00,2024-01-02 11:33:00,52.19,4271,3425,7.17,616,IoT,2796,452.09,Low,FCFS,Static,4.79
JOB_2135,2024-01-02 11:34:00,2024-01-02 11:34:00,67.55,871,287,9.71,328,IoT,344,224.94,High,Priority-Based,Static,1.45
JOB_2136,2024-01-02 11:35:00,2024-01-02 11:35:00,81.22,6623,1314,4.63,754,Social Media,628,359.85,Medium,Round Robin,Static,3.25
JOB_2137,2024-01-02 11:36:00,2024-01-02 11:36:00,16.35,5413,3386,4.36,655,Social Media,1635,497.18,High,ASB-Dynamic-CapsNet,Dynamic,3.47
JOB_2138,2024-01-02 11:37:00,2024-01-02 11:37:00,68.52,1674,3546,4.01,133,IoT,3430,100.64,High,FCFS,Static,0.96
JOB_2139,2024-01-02 11:38:00,2024-01-02 11:38:00,24.99,1664,1209,8.36,381,Social Media,2399,958.03,Medium,ASB-Dynamic-CapsNet,Static,1.83
JOB_2140,2024-01-02 11:39:00,2024-01-02 11:39:00,78.65,1592,2621,1.99,360,Cloud,2221,668.91,Low,Priority-Based,Dynamic,1.71
JOB_2141,2024-01-02 11:40:00,2024-01-02 11:40:00,75.53,1783,3979,3.77,332,Social Media,244,111.51,High,Priority-Based,Static,4.93
JOB_2142,2024-01-02 11:41:00,2024-01-02 11:41:00,53.26,2511,630,7.39,497,IoT,891,824.63,Low,FCFS,Static,4.79
JOB_2143,2024-01-02 11:42:00,2024-01-02 11:42:00,66.82,1345,1170,0.65,460,IoT,4057,329.33,Low,ASB-Dynamic-CapsNet,Static,4.11
JOB_2144,2024-01-02 11:43:00,2024-01-02 11:43:00,35.15,2491,3236,3.25,362,Enterprise DB,4634,600.83,Medium,FCFS,Dynamic,2.36
JOB_2145,2024-01-02 11:44:00,2024-01-02 11:44:00,47.69,1020,1062,6.59,125,Enterprise DB,2981,284.37,Medium,ASB-Dynamic-CapsNet,Dynamic,1.32
JOB_2146,2024-01-02 11:45:00,2024-01-02 11:45:00,75.73,4966,1505,2.27,964,IoT,495,736.07,High,ASB-Dynamic-CapsNet,Static,4.58
JOB_2147,2024-01-02 11:46:00,2024-01-02 11:46:00,46.74,6038,3237,3.38,22,Cloud,129,725.78,Medium,Priority-Based,Static,1.34
JOB_2148,2024-01-02 11:47:00,2024-01-02 11:47:00,38.62,4696,616,5.12,926,Enterprise DB,4890,556.52,High,ASB-Dynamic-CapsNet,Dynamic,2.61
JOB_2149,2024-01-02 11:48:00,2024-01-02 11:48:00,49.54,5256,3264,4.51,329,IoT,2795,248.52,High,ASB-Dynamic-CapsNet,Dynamic,1.23
JOB_2150,2024-01-02 11:49:00,2024-01-02 11:49:00,76.26,6277,1591,1.51,174,Enterprise DB,3738,261.17,Low,Priority-Based,Dynamic,4.86
JOB_2151,2024-01-02 11:50:00,2024-01-02 11:50:00,36.82,7611,3789,9.41,729,Enterprise DB,1910,389.03,Medium,Round Robin,Static,0.21
JOB_2152,2024-01-02 11:51:00,2024-01-02 11:51:00,23.9,742,4328,0.92,94,IoT,980,153.56,Medium,Round Robin,Static,0.87
JOB_2153,2024-01-02 11:52:00,2024-01-02 11:52:00,66.96,3300,4509,7.62,257,Social Media,1984,344.28,High,Round Robin,Dynamic,3.83
JOB_2154,2024-01-02 11:53:00,2024-01-02 11:53:00,76.08,5107,690,1.18,441,Cloud,4417,687.51,Low,Round Robin,Dynamic,0.76
JOB_2155,2024-01-02 11:54:00,2024-01-02 11:54:00,18.05,3396,1643,4.94,577,Social Media,2221,832.54,Medium,ASB-Dynamic-CapsNet,Static,4.9
JOB_2156,2024-01-02 11:55:00,2024-01-02 11:55:00,29.19,3102,3156,2.17,693,IoT,3344,339.26,Low,Round Robin,Dynamic,1.61
JOB_2157,2024-01-02 11:56:00,2024-01-02 11:56:00,21.36,7762,2306,1.84,662,IoT,4831,241.25,Low,Round Robin,Static,4.59
JOB_2158,2024-01-02 11:57:00,2024-01-02 11:57:00,37.84,2773,3439,1.7,653,Cloud,4797,834.32,High,ASB-Dynamic-CapsNet,Dynamic,3.31
JOB_2159,2024-01-02 11:58:00,2024-01-02 11:58:00,46.03,2041,2808,4.8,488,IoT,4442,891.8,Medium,Round Robin,Static,3.17
JOB_2160,2024-01-02 11:59:00,2024-01-02 11:59:00,69.91,6857,4129,5.4,722,Enterprise DB,2884,415.92,Medium,Round Robin,Dynamic,4.58
JOB_2161,2024-01-02 12:00:00,2024-01-02 12:00:00,62.09,3265,847,1.77,377,Cloud,4766,36.64,Medium,FCFS,Static,2.57
JOB_2162,2024-01-02 12:01:00,2024-01-02 12:01:00,59.67,2614,900,9.8,810,Social Media,1704,698.01,Low,Round Robin,Dynamic,2.0
JOB_2163,2024-01-02 12:02:00,2024-01-02 12:02:00,38.19,4991,1597,2.95,942,Cloud,2978,786.19,Medium,FCFS,Static,1.09
JOB_2164,2024-01-02 12:03:00,2024-01-02 12:03:00,77.32,5207,1479,4.86,830,Social Media,3653,27.84,High,Round Robin,Static,0.72
JOB_2165,2024-01-02 12:04:00,2024-01-02 12:04:00,47.7,3583,779,2.55,366,IoT,1722,599.08,Low,ASB-Dynamic-CapsNet,Static,3.96
JOB_2166,2024-01-02 12:05:00,2024-01-02 12:05:00,88.33,5856,3870,5.19,417,Social Media,4400,592.49,Medium,Round Robin,Dynamic,0.64
JOB_2167,2024-01-02 12:06:00,2024-01-02 12:06:00,60.73,2357,3442,7.68,354,Social Media,1337,384.92,Low,Priority-Based,Static,1.97
JOB_2168,2024-01-02 12:07:00,2024-01-02 12:07:00,20.1,1269,996,5.45,188,Social Media,2776,752.27,Low,ASB-Dynamic-CapsNet,Static,2.05
JOB_2169,2024-01-02 12:08:00,2024-01-02 12:08:00,64.09,1922,1646,3.21,434,Cloud,4174,433.9,Low,Round Robin,Static,3.32
JOB_2170,2024-01-02 12:09:00,2024-01-02 12:09:00,36.01,906,3226,2.86,550,Enterprise DB,1108,680.01,High,Round Robin,Dynamic,1.39
JOB_2171,2024-01-02 12:10:00,2024-01-02 12:10:00,64.91,3472,783,7.71,452,Social Media,4894,521.95,Medium,ASB-Dynamic-CapsNet,Dynamic,4.19
JOB_2172,2024-01-02 12:11:00,2024-01-02 12:11:00,15.57,2372,1395,1.62,945,Cloud,651,255.98,Medium,Priority-Based,Dynamic,1.04
JOB_2173,2024-01-02 12:12:00,2024-01-02 12:12:00,23.99,6099,1485,4.01,828,Cloud,3324,610.44,Low,ASB-Dynamic-CapsNet,Static,3.95
JOB_2174,2024-01-02 12:13:00,2024-01-02 12:13:00,78.46,3194,1042,1.94,315,Enterprise DB,3028,739.54,Medium,Priority-Based,Dynamic,4.25
JOB_2175,2024-01-02 12:14:00,2024-01-02 12:14:00,28.17,2769,3380,2.95,376,Cloud,180,974.17,Low,ASB-Dynamic-CapsNet,Static,0.97
JOB_2176,2024-01-02 12:15:00,2024-01-02 12:15:00,76.96,5775,1133,1.95,45,IoT,160,386.31,Low,ASB-Dynamic-CapsNet,Dynamic,4.05
JOB_2177,2024-01-02 12:16:00,2024-01-02 12:16:00,32.34,5249,2886,8.92,472,IoT,2621,73.83,Low,FCFS,Dynamic,3.57
JOB_2178,2024-01-02 12:17:00,2024-01-02 12:17:00,61.43,7071,2333,7.45,630,IoT,3409,988.09,High,FCFS,Dynamic,4.37
JOB_2179,2024-01-02 12:18:00,2024-01-02 12:18:00,65.53,1681,3745,5.83,837,Enterprise DB,2784,627.57,Medium,ASB-Dynamic-CapsNet,Static,2.55
JOB_2180,2024-01-02 12:19:00,2024-01-02 12:19:00,51.01,5572,1720,2.63,155,Cloud,880,946.99,Low,FCFS,Static,1.17
JOB_2181,2024-01-02 12:20:00,2024-01-02 12:20:00,34.42,1939,3635,5.35,797,IoT,715,112.79,Medium,Round Robin,Dynamic,4.56
JOB_2182,2024-01-02 12:21:00,2024-01-02 12:21:00,27.01,3553,3305,5.45,910,Social Media,1116,348.61,High,Round Robin,Dynamic,3.95
JOB_2183,2024-01-02 12:22:00,2024-01-02 12:22:00,12.66,7993,2982,6.11,155,Cloud,3838,142.6,High,Round Robin,Static,0.1
JOB_2184,2024-01-02 12:23:00,2024-01-02 12:23:00,34.32,7014,270,1.07,389,IoT,1367,837.16,Low,FCFS,Static,4.7
JOB_2185,2024-01-02 12:24:00,2024-01-02 12:24:00,62.25,5963,1653,9.74,177,Cloud,334,881.54,High,FCFS,Static,4.74
JOB_2186,2024-01-02 12:25:00,2024-01-02 12:25:00,85.06,3833,3997,4.92,778,IoT,4709,506.3,High,Round Robin,Static,1.78
JOB_2187,2024-01-02 12:26:00,2024-01-02 12:26:00,79.7,7950,1695,9.3,284,Social Media,4164,194.74,High,ASB-Dynamic-CapsNet,Dynamic,0.05
JOB_2188,2024-01-02 12:27:00,2024-01-02 12:27:00,71.29,3397,1723,0.59,96,Cloud,3628,135.85,High,Round Robin,Dynamic,2.76
JOB_2189,2024-01-02 12:28:00,2024-01-02 12:28:00,73.08,3403,4222,2.85,163,IoT,4692,592.28,High,FCFS,Dynamic,4.57
JOB_2190,2024-01-02 12:29:00,2024-01-02 12:29:00,63.2,728,1191,1.49,506,IoT,97,511.31,High,Priority-Based,Static,0.62
JOB_2191,2024-01-02 12:30:00,2024-01-02 12:30:00,30.82,4459,2937,7.81,806,Social Media,1818,697.84,Medium,Round Robin,Static,2.95
JOB_2192,2024-01-02 12:31:00,2024-01-02 12:31:00,82.58,6923,507,3.54,324,Social Media,4364,312.16,High,Round Robin,Dynamic,3.66
JOB_2193,2024-01-02 12:32:00,2024-01-02 12:32:00,63.66,2393,4269,8.48,840,IoT,4911,408.34,Medium,FCFS,Dynamic,0.67
JOB_2194,2024-01-02 12:33:00,2024-01-02 12:33:00,54.84,1813,779,8.41,619,IoT,3309,31.15,Low,FCFS,Dynamic,2.57
JOB_2195,2024-01-02 12:34:00,2024-01-02 12:34:00,18.88,1570,336,6.84,732,Enterprise DB,2128,614.04,High,FCFS,Dynamic,0.44
JOB_2196,2024-01-02 12:35:00,2024-01-02 12:35:00,45.76,1474,2874,6.82,967,Enterprise DB,2356,428.91,High,FCFS,Dynamic,2.79
JOB_2197,2024-01-02 12:36:00,2024-01-02 12:36:00,46.83,2238,3537,7.15,569,Cloud,3465,920.57,Medium,Round Robin,Static,2.21
JOB_2198,2024-01-02 12:37:00,2024-01-02 12:37:00,79.17,3785,3457,6.9,839,Cloud,4453,645.37,High,FCFS,Dynamic,1.32
JOB_2199,2024-01-02 12:38:00,2024-01-02 12:38:00,53.73,1257,2977,4.18,283,Enterprise DB,3192,404.71,Medium,Priority-Based,Static,4.27
JOB_2200,2024-01-02 12:39:00,2024-01-02 12:39:00,40.43,3595,2523,6.99,715,IoT,617,270.95,Medium,ASB-Dynamic-CapsNet,Static,1.91
JOB_2201,2024-01-02 12:40:00,2024-01-02 12:40:00,88.14,820,4814,9.03,773,Social Media,4376,906.23,High,FCFS,Static,3.5
JOB_2202,2024-01-02 12:41:00,2024-01-02 12:41:00,18.86,2821,3247,3.66,804,Cloud,4115,26.1,Low,FCFS,Dynamic,3.95
JOB_2203,2024-01-02 12:42:00,2024-01-02 12:42:00,43.8,1055,1132,9.48,271,IoT,131,333.64,Low,Round Robin,Static,0.89
JOB_2204,2024-01-02 12:43:00,2024-01-02 12:43:00,13.36,5439,2954,0.63,496,Social Media,3055,944.07,Low,ASB-Dynamic-CapsNet,Dynamic,0.6
JOB_2205,2024-01-02 12:44:00,2024-01-02 12:44:00,69.19,5932,3040,3.82,463,Social Media,266,657.49,Medium,ASB-Dynamic-CapsNet,Dynamic,0.04
JOB_2206,2024-01-02 12:45:00,2024-01-02 12:45:00,83.45,1886,3801,1.75,452,IoT,384,537.39,Medium,ASB-Dynamic-CapsNet,Static,1.53
JOB_2207,2024-01-02 12:46:00,2024-01-02 12:46:00,32.4,5263,4170,1.7,271,IoT,608,211.5,High,FCFS,Dynamic,4.08
JOB_2208,2024-01-02 12:47:00,2024-01-02 12:47:00,78.67,3547,3232,8.25,552,Cloud,2961,835.04,Medium,Round Robin,Static,3.86
JOB_2209,2024-01-02 12:48:00,2024-01-02 12:48:00,33.38,2927,3560,9.22,114,Enterprise DB,923,212.16,Low,Round Robin,Dynamic,4.36
JOB_2210,2024-01-02 12:49:00,2024-01-02 12:49:00,82.86,7354,2023,7.89,359,IoT,802,255.77,High,FCFS,Dynamic,3.8
JOB_2211,2024-01-02 12:50:00,2024-01-02 12:50:00,70.32,6538,733,9.78,833,Enterprise DB,3811,199.93,Low,ASB-Dynamic-CapsNet,Static,0.12
JOB_2212,2024-01-02 12:51:00,2024-01-02 12:51:00,74.39,2504,4203,2.56,447,Cloud,643,166.57,High,ASB-Dynamic-CapsNet,Static,1.93
JOB_2213,2024-01-02 12:52:00,2024-01-02 12:52:00,11.44,2430,1492,1.84,990,Enterprise DB,2801,953.78,Low,Round Robin,Dynamic,0.03
JOB_2214,2024-01-02 12:53:00,2024-01-02 12:53:00,87.02,5341,3546,5.45,178,Enterprise DB,1728,606.01,High,Priority-Based,Static,0.18
JOB_2215,2024-01-02 12:54:00,2024-01-02 12:54:00,68.13,5270,3198,8.38,757,Social Media,3947,641.46,Low,FCFS,Static,2.39
JOB_2216,2024-01-02 12:55:00,2024-01-02 12:55:00,34.38,2663,161,0.88,795,Cloud,4698,954.78,Medium,Priority-Based,Dynamic,1.8
JOB_2217,2024-01-02 12:56:00,2024-01-02 12:56:00,76.35,7248,2569,9.96,352,IoT,1532,238.27,Low,Priority-Based,Static,2.79
JOB_2218,2024-01-02 12:57:00,2024-01-02 12:57:00,32.52,5661,1917,6.22,239,Enterprise DB,832,15.86,High,ASB-Dynamic-CapsNet,Static,0.33
JOB_2219,2024-01-02 12:58:00,2024-01-02 12:58:00,79.82,4367,732,9.8,32,Cloud,2184,602.89,Low,Priority-Based,Dynamic,2.94
JOB_2220,2024-01-02 12:59:00,2024-01-02 12:59:00,19.01,2926,4987,3.97,997,Social Media,3636,512.77,Medium,FCFS,Static,0.33
JOB_2221,2024-01-02 13:00:00,2024-01-02 13:00:00,66.29,4293,2698,4.85,685,Social Media,3844,482.87,High,Round Robin,Dynamic,2.12
JOB_2222,2024-01-02 13:01:00,2024-01-02 13:01:00,53.26,7873,3551,7.65,290,Enterprise DB,4658,71.26,Medium,FCFS,Static,1.76
JOB_2223,2024-01-02 13:02:00,2024-01-02 13:02:00,17.72,3013,1400,8.03,528,Enterprise DB,1033,459.89,Low,FCFS,Dynamic,1.12
JOB_2224,2024-01-02 13:03:00,2024-01-02 13:03:00,29.35,4303,2753,2.71,731,IoT,4732,294.68,High,FCFS,Static,1.56
JOB_2225,2024-01-02 13:04:00,2024-01-02 13:04:00,10.99,2827,1554,9.33,262,Cloud,792,281.82,Low,FCFS,Dynamic,0.0
JOB_2226,2024-01-02 13:05:00,2024-01-02 13:05:00,47.5,1117,1238,8.74,413,IoT,4594,230.16,High,Priority-Based,Dynamic,1.62
JOB_2227,2024-01-02 13:06:00,2024-01-02 13:06:00,34.1,2665,3292,0.67,142,IoT,4733,339.2,Medium,ASB-Dynamic-CapsNet,Dynamic,0.39
JOB_2228,2024-01-02 13:07:00,2024-01-02 13:07:00,57.87,3808,4720,1.72,283,Social Media,4405,359.6,Medium,Round Robin,Static,4.61
JOB_2229,2024-01-02 13:08:00,2024-01-02 13:08:00,33.78,6952,2310,5.21,627,Cloud,3658,315.69,Medium,ASB-Dynamic-CapsNet,Dynamic,0.37
JOB_2230,2024-01-02 13:09:00,2024-01-02 13:09:00,33.99,6743,4982,4.88,241,IoT,3321,978.97,Low,Priority-Based,Dynamic,4.77
JOB_2231,2024-01-02 13:10:00,2024-01-02 13:10:00,69.46,6904,3859,7.23,554,Social Media,2560,933.4,High,ASB-Dynamic-CapsNet,Static,2.46
JOB_2232,2024-01-02 13:11:00,2024-01-02 13:11:00,13.85,1492,3129,1.35,88,Enterprise DB,4060,578.76,Medium,ASB-Dynamic-CapsNet,Dynamic,2.57
JOB_2233,2024-01-02 13:12:00,2024-01-02 13:12:00,82.23,5924,1460,6.63,44,IoT,143,981.24,Low,Priority-Based,Dynamic,3.94
JOB_2234,2024-01-02 13:13:00,2024-01-02 13:13:00,78.18,1877,2526,6.36,504,Enterprise DB,1425,991.29,Low,ASB-Dynamic-CapsNet,Dynamic,3.48
JOB_2235,2024-01-02 13:14:00,2024-01-02 13:14:00,63.42,4881,4368,2.72,119,Cloud,1181,362.38,High,Round Robin,Dynamic,1.19
JOB_2236,2024-01-02 13:15:00,2024-01-02 13:15:00,57.46,6971,163,5.65,330,IoT,2566,450.74,Medium,Priority-Based,Static,0.13
JOB_2237,2024-01-02 13:16:00,2024-01-02 13:16:00,81.38,3674,1445,2.61,584,Enterprise DB,140,959.47,Low,Round Robin,Static,3.89
JOB_2238,2024-01-02 13:17:00,2024-01-02 13:17:00,24.83,6706,1074,1.9,990,Enterprise DB,1529,612.54,Medium,ASB-Dynamic-CapsNet,Static,0.65
JOB_2239,2024-01-02 13:18:00,2024-01-02 13:18:00,16.32,5282,4261,5.94,337,Cloud,1004,220.8,High,FCFS,Dynamic,2.99
JOB_2240,2024-01-02 13:19:00,2024-01-02 13:19:00,29.16,1805,3728,9.79,976,Social Media,2481,692.49,Medium,FCFS,Static,4.71
JOB_2241,2024-01-02 13:20:00,2024-01-02 13:20:00,73.57,6060,1722,2.75,818,Social Media,72,213.69,Medium,Priority-Based,Dynamic,2.75
JOB_2242,2024-01-02 13:21:00,2024-01-02 13:21:00,12.77,7960,557,3.88,699,IoT,1775,345.96,Low,FCFS,Dynamic,1.43
JOB_2243,2024-01-02 13:22:00,2024-01-02 13:22:00,56.62,5333,3430,2.94,393,Enterprise DB,4168,235.28,Low,FCFS,Static,0.89
JOB_2244,2024-01-02 13:23:00,2024-01-02 13:23:00,89.64,3578,1840,3.03,373,Social Media,3355,252.53,High,FCFS,Dynamic,0.13
JOB_2245,2024-01-02 13:24:00,2024-01-02 13:24:00,78.46,3186,3126,4.34,241,IoT,1771,14.61,High,Priority-Based,Dynamic,3.12
JOB_2246,2024-01-02 13:25:00,2024-01-02 13:25:00,51.72,3483,2054,7.17,625,Enterprise DB,1490,881.9,High,Round Robin,Static,2.79
JOB_2247,2024-01-02 13:26:00,2024-01-02 13:26:00,15.09,7759,379,0.87,423,IoT,4720,303.03,Low,FCFS,Static,2.31
JOB_2248,2024-01-02 13:27:00,2024-01-02 13:27:00,76.51,6554,2491,9.59,303,Cloud,2200,95.51,High,Priority-Based,Dynamic,0.97
JOB_2249,2024-01-02 13:28:00,2024-01-02 13:28:00,57.92,7857,1140,0.94,556,IoT,2597,96.12,High,Round Robin,Dynamic,1.18
JOB_2250,2024-01-02 13:29:00,2024-01-02 13:29:00,19.19,6490,1061,8.87,715,Cloud,4973,560.46,Low,Priority-Based,Dynamic,4.79
JOB_2251,2024-01-02 13:30:00,2024-01-02 13:30:00,17.51,3023,3945,9.0,183,Enterprise DB,3604,992.99,High,FCFS,Dynamic,0.1
JOB_2252,2024-01-02 13:31:00,2024-01-02 13:31:00,82.77,4082,1317,5.48,401,Enterprise DB,238,153.57,Low,FCFS,Static,1.82
JOB_2253,2024-01-02 13:32:00,2024-01-02 13:32:00,63.54,1985,3320,1.8,111,Enterprise DB,509,108.63,High,ASB-Dynamic-CapsNet,Static,0.19
JOB_2254,2024-01-02 13:33:00,2024-01-02 13:33:00,76.34,2600,474,5.87,845,IoT,2286,443.92,Low,ASB-Dynamic-CapsNet,Dynamic,0.96
